Sector;Temperatura c°;Humedad;Co2 ppm;;;;;;;;;;;;
A;23.88;52.97;1701;;;;;;;;;;;;
B;23.32;54.41;1993;;;;;;;;;;;;
A;23.87;52.87;1572;;;;;;;;;;;;
B;23.40;54.52;1793;;;;;;;;;;;;
A;23.80;52.97;1614;;;;;;;;;;;;
B;23.37;54.52;1890;;;;;;;;;;;;
A;23.84;52.87;1531;;;;;;;;;;;;
B;23.38;54.52;1657;;;;;;;;;;;;
A;23.92;52.94;1614;;;;;;;;;;;;
B;23.40;54.52;1701;;;;;;;;;;;;
A;23.88;52.76;1531;;;;;;;;;;;;
B;23.40;54.71;1701;;;;;;;;;;;;
A;23.87;52.76;1453;;;;;;;;;;;;
B;23.37;54.61;1701;;;;;;;;;;;;
A;23.82;52.87;1453;;;;;;;;;;;;
B;23.41;54.61;1701;;;;;;;;;;;;
A;23.82;52.97;1453;;;;;;;;;;;;
B;23.42;54.52;1747;;;;;;;;;;;;
A;23.79;53.06;1415;;;;;;;;;;;;
B;23.40;54.41;1701;;;;;;;;;;;;
A;23.79;53.17;1453;;;;;;;;;;;;
B;23.40;54.52;1841;;;;;;;;;;;;
A;23.79;53.17;1378;;;;;;;;;;;;
B;23.44;54.52;1841;;;;;;;;;;;;
A;23.82;53.17;1378;;;;;;;;;;;;
B;23.40;54.52;1614;;;;;;;;;;;;
A;23.79;52.97;1378;;;;;;;;;;;;
B;23.40;54.41;1572;;;;;;;;;;;;
A;23.77;52.97;1415;;;;;;;;;;;;
B;23.40;54.41;1531;;;;;;;;;;;;
A;23.77;53.06;1415;;;;;;;;;;;;
B;23.37;54.41;1657;;;;;;;;;;;;
A;23.76;52.97;1308;;;;;;;;;;;;
B;23.40;54.52;1531;;;;;;;;;;;;
A;23.77;52.97;1378;;;;;;;;;;;;
B;23.37;54.52;1657;;;;;;;;;;;;
A;23.80;53.06;1378;;;;;;;;;;;;
B;23.37;54.61;1492;;;;;;;;;;;;
A;23.76;53.17;1274;;;;;;;;;;;;
B;23.38;54.52;1415;;;;;;;;;;;;
A;23.77;53.36;1342;;;;;;;;;;;;
B;23.41;54.52;1492;;;;;;;;;;;;
A;23.76;53.27;1342;;;;;;;;;;;;
B;23.40;54.52;1614;;;;;;;;;;;;
A;23.77;53.17;1274;;;;;;;;;;;;
B;23.40;54.61;1415;;;;;;;;;;;;
A;23.77;53.17;1208;;;;;;;;;;;;
B;23.41;54.52;1378;;;;;;;;;;;;
A;23.76;53.27;1241;;;;;;;;;;;;
B;23.40;54.52;1378;;;;;;;;;;;;
A;23.77;53.27;1274;;;;;;;;;;;;
B;23.42;54.71;1274;;;;;;;;;;;;
A;23.82;53.27;1208;;;;;;;;;;;;
B;23.38;54.71;1342;;;;;;;;;;;;
A;23.74;53.17;1177;;;;;;;;;;;;
B;23.45;54.82;1308;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;; 
